id,name,brand,price,mileage,fuel_type,transmission,seating_capacity,body_type,rating,use_case,features,engine_cc,safety_rating,year,image_url
1,Maruti Suzuki Swift,Maruti Suzuki,599000.0,23.2,Petrol,Manual,5,Hatchback,4.5,"City,Family",ABS|Airbags|Power Steering|AC,1197,4,2023,maruti_suzuki_swift.jpg
2,Hyundai Creta,Hyundai,1099000.0,17.4,Diesel,Automatic,5,SUV,4.7,"Family,Long Drive",Sunroof|Cruise Control|Touchscreen|Climate Control,1493,5,2023,hyundai_creta.jpg
3,Tata Nexon EV,Tata,1499000.0,312.0,Electric,Automatic,5,SUV,4.6,"City,Family",Regenerative Braking|Fast Charging|Connected Car|iRA AI,0,5,2023,tata_nexon_ev.jpg
4,Honda City,Honda,1199000.0,18.4,Petrol,Automatic,5,Sedan,4.4,"City,Long Drive",Lane Watch|Cruise Control|Sunroof|Alexa Integration,1498,4,2023,honda_city.jpg
5,Mahindra Thar,Mahindra,1349000.0,15.2,Diesel,Manual,4,SUV,4.8,"Off-road,Long Drive",4x4|Convertible Top|Off-road Tyres|Hill Assist,2184,4,2023,mahindra_thar.jpg
6,Kia Seltos,Kia,1089000.0,16.8,Petrol,Automatic,5,SUV,4.5,"City,Family",UVO Connect|Air Purifier|Wireless Charger|360 Camera,1497,5,2023,kia_seltos_2024.jpg
7,Toyota Fortuner,Toyota,3299000.0,14.2,Diesel,Automatic,7,SUV,4.9,"Family,Long Drive,Off-road",4WD|Leather Seats|Premium Audio|Adaptive Cruise,2755,5,2023,toyota_fortuner.jpg
8,Maruti Altok10,Maruti Suzuki,349000.0,22.5,Petrol,Manual,5,Hatchback,4.2,City,Compact Design|Fuel Efficient|Easy Parking,796,3,2023,maruti_suzuki_maruti_altok10.jpg
9,Hyundai Venue,Hyundai,799000.0,18.2,Petrol,Manual,5,SUV,4.3,"City,Family",BlueLink|Touchscreen|Rear Camera|Wireless Charging,998,4,2023,hyundai_venue_2025.jpg
10,Tata Punch,Tata,599000.0,18.8,Petrol,Manual,5,SUV,4.4,"City,Family",Ground Clearance|Spacious|Safety Features|Digital Cluster,1199,5,2023,tata_punch.jpg
11,Honda Amaze,Honda,749000.0,18.6,Petrol,Manual,5,Sedan,4.3,"City,Family",CVT Option|Spacious Boot|Touchscreen|Reverse Camera,1199,4,2023,honda_amaze_2024.jpg
12,Maruti Baleno,Maruti Suzuki,649000.0,22.9,Petrol,Automatic,5,Hatchback,4.4,"City,Family",Smartplay Studio|Head-up Display|Premium Interior,1197,4,2023,maruti_suzuki_maruti_baleno.jpg
13,Mahindra Scorpio N,Mahindra,1299000.0,15.4,Diesel,Manual,7,SUV,4.6,"Family,Off-road",4WD|Hill Hold|Cruise Control|Sunroof,2184,4,2023,mahindra_scorpio_n_2025.jpg
14,Kia Sonet,Kia,749000.0,18.4,Diesel,Manual,5,SUV,4.5,"City,Family",UVO Connect|Ventilated Seats|Air Purifier|Bose Audio,1493,4,2023,kia_sonet_2025.jpg
15,Toyota Glanza,Toyota,649000.0,22.4,Petrol,Automatic,5,Hatchback,4.3,"City,Family",Heads-up Display|Ambient Lighting|Smart Infotainment,1197,4,2023,toyota_glanza.jpg
16,MG Hector,MG,1399000.0,14.2,Diesel,Automatic,5,SUV,4.5,"Family,Long Drive",Panoramic Sunroof|AI Assistant|360 Camera|ADAS,1956,5,2023,mg_hector_2025.jpg
17,Volkswagen Virtus,Volkswagen,1149000.0,18.7,Petrol,Automatic,5,Sedan,4.6,"City,Long Drive",Ventilated Seats|Digital Cockpit|Wireless Charging,1498,5,2023,volkswagen_virtus_2024.jpg
18,Skoda Kushaq,Skoda,1099000.0,17.8,Petrol,Manual,5,SUV,4.5,"Family,Long Drive",Ventilated Seats|Virtual Cockpit|Sunroof|6 Airbags,1498,5,2023,skoda_kushaq.jpg
19,Renault Kiger,Renault,599000.0,19.2,Petrol,Manual,5,SUV,4.2,"City,Family",Wireless Android Auto|LED DRLs|8-inch Touchscreen,999,4,2023,renault_kiger.jpg
20,Nissan Magnite,Nissan,599000.0,18.8,Petrol,Manual,5,SUV,4.3,"City,Family",360 Camera|Wireless Charger|JBL Audio|Air Purifier,999,4,2023,nissan_magnite.jpg
21,Jeep Compass,Jeep,1899000.0,14.2,Diesel,Automatic,5,SUV,4.7,"Off-road,Long Drive",4x4|Panoramic Sunroof|Uconnect|Dual-zone Climate,1956,5,2023,jeep_compass.jpg
22,Hyundai i20,Hyundai,749000.0,20.4,Petrol,Automatic,5,Hatchback,4.4,"City,Family",BlueLink|Sunroof|Wireless Charging|Digital Cluster,998,4,2023,hyundai_i20.jpg
23,Tata Harrier,Tata,1499000.0,14.6,Diesel,Automatic,7,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|JBL Audio|Terrain Modes|ADAS,1956,5,2023,tata_harrier_2025.jpg
24,Mahindra XUV700,Mahindra,1349000.0,16.1,Diesel,Automatic,7,SUV,4.7,"Family,Long Drive,Off-road",ADAS|Panoramic Sunroof|Sony Audio|AWD,2184,5,2023,mahindra_xuv700_2025.jpg
25,Honda Elevate,Honda,1199000.0,16.8,Petrol,Manual,5,SUV,4.5,"Family,City",Lane Keep Assist|ADAS|Wireless Charging|Sunroof,1498,5,2023,honda_elevate.jpg
26,Maruti Ertiga,Maruti Suzuki,849000.0,20.3,Petrol,Manual,7,MUV,4.4,"Family,Long Drive",7 Seater|Spacious|Fuel Efficient|Touchscreen,1462,4,2023,maruti_suzuki_maruti_ertiga.jpg
27,Toyota Innova Crysta,Toyota,1899000.0,15.6,Diesel,Manual,7,MUV,4.8,"Family,Long Drive",Premium Interior|Captain Seats|Spacious|Reliable,2393,5,2023,toyota_innova_crysta.jpg
28,Maruti Brezza,Maruti Suzuki,849000.0,19.8,Petrol,Automatic,5,SUV,4.5,"City,Family",Head-up Display|360 Camera|Sunroof|Connected Car,1462,4,2023,maruti_suzuki_maruti_brezza.jpg
29,Hyundai Verna,Hyundai,1099000.0,18.6,Petrol,Automatic,5,Sedan,4.5,"City,Long Drive",Ventilated Seats|Sunroof|BlueLink|ADAS,1497,5,2023,hyundai_verna_2025.jpg
30,Kia Carens,Kia,999000.0,16.2,Petrol,Manual,7,MUV,4.6,"Family,Long Drive",6/7 Seater|Ventilated Seats|UVO Connect|Sunroof,1497,5,2023,kia_carens.jpg
32,Tata Altroz 2022,Tata,833655.0,21.9,Diesel,Manual,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
33,Hyundai Verna 2023,Hyundai,1464919.0,18.3,Petrol,Automatic,5,Sedan,4.7,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2023,hyundai_verna_2025.jpg
34,Kia Seltos 2023,Kia,1239735.0,18.5,Petrol,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
35,Tata Altroz 2025,Tata,742017.0,24.0,Diesel,Manual,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
36,Tata Harrier 2022,Tata,1798259.0,16.5,Diesel,Manual,5,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2022,tata_harrier_2025.jpg
37,Tata Harrier 2024,Tata,1893785.0,16.0,Diesel,Manual,5,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2024,tata_harrier_2025.jpg
38,MG ZS EV 2024,MG,2262099.0,411.1,Electric,Automatic,5,SUV,4.6,"City,Family",Fast Charging|Airbags|Connected Car|Sunroof,0,5,2024,mg_zs_ev_2024.jpg
39,Tata Tiago EV 2023,Tata,930070.0,303.8,Electric,Automatic,5,Hatchback,4.7,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2023,tata_tiago_ev_2025.jpg
40,Hyundai Venue 2025,Hyundai,1041726.0,17.9,Petrol,Automatic,5,SUV,4.6,"City,Family",Sunroof|Cruise Control|Airbags|Connected Car,998,4,2025,hyundai_venue_2025.jpg
41,Maruti Suzuki Baleno 2024,Maruti Suzuki,867017.0,21.6,Petrol,Automatic,5,Hatchback,4.9,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
42,Mahindra XUV700 2023,Mahindra,1791435.0,16.6,Diesel,Automatic,7,SUV,4.2,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2023,mahindra_xuv700_2025.jpg
43,Maruti Suzuki Ertiga 2023,Maruti Suzuki,1057287.0,19.5,Petrol,Manual,7,SUV,4.8,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2023,maruti_suzuki_maruti_ertiga.jpg
44,Honda Amaze 2023,Honda,877853.0,18.1,Petrol,Automatic,5,Sedan,4.3,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2023,honda_amaze_2024.jpg
45,Hyundai i20 2023,Hyundai,920936.0,20.4,Petrol,Manual,5,Hatchback,4.5,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2023,hyundai_verna_2025.jpg
46,Kia Seltos 2023,Kia,1283457.0,17.1,Petrol,Automatic,5,SUV,4.7,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
47,Tata Tiago EV 2025,Tata,932083.0,319.8,Electric,Automatic,5,Hatchback,4.3,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2025,tata_tiago_ev_2025.jpg
48,Tata Altroz 2025,Tata,772313.0,23.6,Diesel,Manual,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
49,MG Hector 2025,MG,1675882.0,15.7,Petrol,Automatic,5,SUV,4.8,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2025,mg_hector_2025.jpg
50,Maruti Suzuki Baleno 2022,Maruti Suzuki,833530.0,22.7,Petrol,Automatic,5,Hatchback,4.2,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_maruti_baleno.jpg
51,Honda Amaze 2022,Honda,930457.0,18.9,Petrol,Automatic,5,Sedan,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2022,honda_amaze_2024.jpg
52,Tata Altroz 2025,Tata,769793.0,23.9,Diesel,Manual,5,Hatchback,4.9,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
53,MG ZS EV 2024,MG,2306854.0,413.9,Electric,Automatic,5,SUV,4.6,"City,Family",Fast Charging|Airbags|Connected Car|Sunroof,0,5,2024,mg_zs_ev_2024.jpg
54,Maruti Suzuki Dzire 2025,Maruti Suzuki,733353.0,22.6,Petrol,Manual,5,Sedan,4.4,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2025,maruti_suzuki_dzire_2025.jpg
55,Skoda Slavia 2024,Skoda,1171749.0,19.5,Petrol,Automatic,5,Sedan,4.4,"City,Long Drive",Sunroof|Airbags|Touchscreen|Cruise Control,1498,5,2024,skoda_slavia_2024.jpg
56,Maruti Suzuki Dzire 2022,Maruti Suzuki,736646.0,23.3,Petrol,Manual,5,Sedan,4.7,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_dzire_2025.jpg
57,Tata Tiago EV 2022,Tata,921514.0,314.7,Electric,Automatic,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2022,tata_tiago_ev_2025.jpg
58,Kia Seltos 2024,Kia,1267706.0,17.7,Petrol,Automatic,5,SUV,4.2,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
59,Hyundai Verna 2025,Hyundai,1481971.0,18.5,Petrol,Automatic,5,Sedan,4.9,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
60,Volkswagen Virtus 2024,Volkswagen,1194989.0,19.2,Petrol,Automatic,5,Sedan,4.9,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2024,volkswagen_virtus_2024.jpg
61,Kia Seltos 2024,Kia,1198345.0,17.5,Petrol,Automatic,5,SUV,4.6,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
62,Mahindra XUV700 2025,Mahindra,1777676.0,16.3,Diesel,Automatic,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2025,mahindra_xuv700_2025.jpg
63,Mahindra Scorpio N 2024,Mahindra,1778109.0,15.1,Diesel,Automatic,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
64,Mahindra Scorpio N 2022,Mahindra,1691751.0,15.0,Diesel,Automatic,7,SUV,4.6,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2022,mahindra_scorpio_n_2025.jpg
65,Kia Seltos 2023,Kia,1216144.0,17.9,Petrol,Automatic,5,SUV,4.9,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
66,MG Hector 2025,MG,1694108.0,15.8,Petrol,Automatic,5,SUV,4.8,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2025,mg_hector_2025.jpg
67,Kia Seltos 2023,Kia,1343016.0,17.8,Petrol,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
68,Kia Sonet 2025,Kia,1068953.0,18.4,Diesel,Automatic,5,SUV,4.8,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
69,Maruti Suzuki Ertiga 2022,Maruti Suzuki,1073225.0,20.3,Petrol,Manual,7,SUV,4.5,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2022,maruti_suzuki_maruti_ertiga.jpg
70,Kia Seltos 2024,Kia,1199516.0,18.4,Petrol,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
71,Kia Sonet 2022,Kia,984951.0,19.2,Diesel,Automatic,5,SUV,4.2,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2022,kia_sonet_2025.jpg
