id,make,model,year,price,body_type,fuel_type,transmission,engine_size,horsepower,seating_capacity,fuel_economy,safety_rating,features,description
1,Audi,Q7,2023,55390,SUV,Electric,Automatic,0.0,270,5,112,5,"Sunroof, Bluetooth, Blind Spot Monitor, Leather Seats, Android Auto",The 2023 Audi Q7 is a premium SUV offering exceptional performance and modern features like Sunroof and Bluetooth.
2,Honda,Pilot,2023,42568,Luxury,Diesel,Automatic,1.3,594,5,29,5,"Leather Seats, Android Auto, Apple CarPlay, Heated Seats",The 2023 Honda Pilot is a premium Luxury offering exceptional performance and modern features like Leather Seats and Android Auto.
3,Kia,K5,2022,33792,Luxury,Petrol,Automatic,1.3,505,5,39,5,"Navigation System, Android Auto, Leather Seats, Backup Camera, Sunroof, Heated Seats",The 2022 Kia K5 is a premium Luxury offering exceptional performance and modern features like Navigation System and Android Auto.
4,Tesla,Model Y,2024,61653,SUV,Electric,Automatic,0.0,726,7,123,4,"Cruise Control, Android Auto, Navigation System, Leather Seats",The 2024 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Cruise Control and Android Auto.
5,Honda,HR-V,2020,46243,Luxury,Petrol,Automatic,4.2,184,5,44,5,"Leather Seats, Blind Spot Monitor, Navigation System",The 2020 Honda HR-V is a premium Luxury offering exceptional performance and modern features like Leather Seats and Blind Spot Monitor.
6,Toyota,RAV4,2023,28561,SUV,Petrol,Automatic,4.5,447,5,20,5,"Leather Seats, Bluetooth, Sunroof, Android Auto, Blind Spot Monitor",The 2023 Toyota RAV4 is a premium SUV offering exceptional performance and modern features like Leather Seats and Bluetooth.
7,BMW,X3,2019,67412,SUV,Petrol,Automatic,3.1,512,7,29,3,"Leather Seats, Android Auto, Heated Seats, Cruise Control, Blind Spot Monitor",The 2019 BMW X3 is a premium SUV offering exceptional performance and modern features like Leather Seats and Android Auto.
8,Tesla,Model 3,2021,69541,Sedan,Electric,Automatic,0.0,277,5,109,4,"Leather Seats, Cruise Control, Apple CarPlay, Navigation System",The 2021 Tesla Model 3 is a premium Sedan offering exceptional performance and modern features like Leather Seats and Cruise Control.
9,Kia,Sorento,2023,47248,Hatchback,Petrol,Automatic,2.8,284,5,20,5,"Cruise Control, Android Auto, Navigation System, Leather Seats",The 2023 Kia Sorento is a premium Hatchback offering exceptional performance and modern features like Cruise Control and Android Auto.
10,Tesla,Model X,2024,61649,SUV,Electric,Automatic,0.0,362,5,106,5,"Apple CarPlay, Android Auto, Cruise Control",The 2024 Tesla Model X is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Android Auto.
11,Honda,HR-V,2022,30791,Coupe,Petrol,Automatic,4.1,242,4,25,3,"Navigation System, Blind Spot Monitor, Bluetooth, Backup Camera, Apple CarPlay, Sunroof",The 2022 Honda HR-V is a premium Coupe offering exceptional performance and modern features like Navigation System and Blind Spot Monitor.
12,Ford,Escape,2022,48482,Luxury,Petrol,Automatic,2.1,471,5,26,3,"Heated Seats, Blind Spot Monitor, Navigation System",The 2022 Ford Escape is a premium Luxury offering exceptional performance and modern features like Heated Seats and Blind Spot Monitor.
13,Audi,A6,2021,66646,Luxury,Petrol,Manual,3.2,488,5,21,3,"Android Auto, Leather Seats, Backup Camera, Bluetooth, Heated Seats, Sunroof",The 2021 Audi A6 is a premium Luxury offering exceptional performance and modern features like Android Auto and Leather Seats.
14,Ford,Escape,2024,37183,Luxury,Petrol,Automatic,4.6,459,5,22,4,"Blind Spot Monitor, Sunroof, Backup Camera",The 2024 Ford Escape is a premium Luxury offering exceptional performance and modern features like Blind Spot Monitor and Sunroof.
15,Kia,Sorento,2019,30699,Sedan,Petrol,Automatic,2.6,511,5,26,5,"Blind Spot Monitor, Backup Camera, Leather Seats",The 2019 Kia Sorento is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Backup Camera.
16,Honda,HR-V,2024,32022,Sedan,Petrol,Automatic,2.3,154,5,36,3,"Leather Seats, Apple CarPlay, Android Auto, Bluetooth, Blind Spot Monitor, Sunroof",The 2024 Honda HR-V is a premium Sedan offering exceptional performance and modern features like Leather Seats and Apple CarPlay.
17,BMW,X3,2022,71472,SUV,Petrol,Automatic,1.9,280,5,37,3,"Sunroof, Navigation System, Backup Camera, Android Auto",The 2022 BMW X3 is a premium SUV offering exceptional performance and modern features like Sunroof and Navigation System.
18,Honda,Accord,2019,33096,Sedan,Electric,Automatic,0.0,288,5,115,5,"Cruise Control, Heated Seats, Blind Spot Monitor, Bluetooth",The 2019 Honda Accord is a premium Sedan offering exceptional performance and modern features like Cruise Control and Heated Seats.
19,Toyota,Highlander,2021,47998,Luxury,Petrol,Automatic,3.8,170,5,44,4,"Android Auto, Navigation System, Apple CarPlay, Bluetooth, Cruise Control",The 2021 Toyota Highlander is a premium Luxury offering exceptional performance and modern features like Android Auto and Navigation System.
20,Hyundai,Ioniq 5,2022,28051,Luxury,Electric,Automatic,0.0,352,5,95,3,"Sunroof, Android Auto, Heated Seats, Apple CarPlay, Leather Seats, Navigation System",The 2022 Hyundai Ioniq 5 is a premium Luxury offering exceptional performance and modern features like Sunroof and Android Auto.
21,Ford,F-150,2021,30177,Truck,Petrol,Manual,4.4,512,5,24,4,"Blind Spot Monitor, Cruise Control, Backup Camera",The 2021 Ford F-150 is a premium Truck offering exceptional performance and modern features like Blind Spot Monitor and Cruise Control.
